"Tanom_annual_df$year","HadCRUT","NOAA","Berkeley"
1850,-0.42,-0.501034,-0.43
1851,-0.23,-0.395188,-0.31
1852,-0.23,-0.356986,-0.28
1853,-0.27,-0.411815,-0.29
1854,-0.29,-0.372198,-0.29
1855,-0.3,-0.386078,-0.29
1856,-0.32,-0.455156,-0.42
1857,-0.47,-0.501016,-0.56
1858,-0.39,-0.489114,-0.36
1859,-0.28,-0.358036,-0.25
1860,-0.39,-0.537128,-0.4
1861,-0.43,-0.590798,-0.48
1862,-0.54,-0.656185,-0.58
1863,-0.34,-0.514267,-0.33
1864,-0.47,-0.508461,-0.36
1865,-0.33,-0.390656,-0.27
1866,-0.34,-0.409665,-0.22
1867,-0.36,-0.499576,-0.18
1868,-0.35,-0.449452,-0.21
1869,-0.32,-0.376858,-0.22
1870,-0.33,-0.478799,-0.29
1871,-0.37,-0.472459,-0.32
1872,-0.33,-0.508006,-0.29
1873,-0.34,-0.509506,-0.26
1874,-0.37,-0.541794,-0.31
1875,-0.38,-0.529676,-0.35
1876,-0.42,-0.553102,-0.36
1877,-0.1,-0.194273,0.02
1878,-0.01,-0.188063,0.11
1879,-0.3,-0.44839,-0.24
1880,-0.32,-0.48558,-0.31
1881,-0.23,-0.405203,-0.18
1882,-0.3,-0.467261,-0.25
1883,-0.35,-0.498952,-0.3
1884,-0.49,-0.605756,-0.47
1885,-0.47,-0.595459,-0.44
1886,-0.42,-0.590861,-0.46
1887,-0.5,-0.64668,-0.5
1888,-0.38,-0.411693,-0.29
1889,-0.25,-0.353569,-0.17
1890,-0.51,-0.641968,-0.46
1891,-0.4,-0.530954,-0.34
1892,-0.51,-0.567279,-0.4
1893,-0.49,-0.638137,-0.37
1894,-0.48,-0.634059,-0.37
1895,-0.45,-0.521221,-0.3
1896,-0.28,-0.415915,-0.21
1897,-0.26,-0.399334,-0.19
1898,-0.49,-0.563725,-0.4
1899,-0.36,-0.465111,-0.22
1900,-0.23,-0.36636,-0.12
1901,-0.29,-0.417458,-0.2
1902,-0.44,-0.530042,-0.36
1903,-0.53,-0.668055,-0.45
1904,-0.6,-0.737227,-0.51
1905,-0.41,-0.562486,-0.33
1906,-0.32,-0.473147,-0.25
1907,-0.5,-0.652473,-0.42
1908,-0.51,-0.725918,-0.44
1909,-0.54,-0.73289,-0.51
1910,-0.53,-0.680634,-0.47
1911,-0.54,-0.710118,-0.48
1912,-0.48,-0.638827,-0.4
1913,-0.47,-0.626877,-0.38
1914,-0.26,-0.448911,-0.19
1915,-0.19,-0.394804,-0.14
1916,-0.42,-0.609556,-0.38
1917,-0.54,-0.738698,-0.53
1918,-0.42,-0.614439,-0.36
1919,-0.33,-0.540144,-0.3
1920,-0.3,-0.539601,-0.24
1921,-0.24,-0.475917,-0.19
1922,-0.34,-0.545489,-0.28
1923,-0.32,-0.5565,-0.24
1924,-0.31,-0.536663,-0.25
1925,-0.28,-0.512879,-0.21
1926,-0.12,-0.380707,-0.07
1927,-0.23,-0.478756,-0.19
1928,-0.21,-0.466925,-0.18
1929,-0.39,-0.625647,-0.36
1930,-0.18,-0.420378,-0.13
1931,-0.1,-0.357153,-0.07
1932,-0.15,-0.432718,-0.11
1933,-0.32,-0.548474,-0.3
1934,-0.17,-0.411202,-0.16
1935,-0.21,-0.459787,-0.22
1936,-0.17,-0.41828,-0.15
1937,-0.02,-0.316931,0.01
1938,-0.01,-0.304092,0.02
1939,-0.04,-0.293088,0
1940,0.08,-0.160178,0.08
1941,0.04,-0.084547,0.03
1942,0,-0.219703,0.04
1943,0.01,-0.2364,0.1
1944,0.14,-0.069386,0.2
1945,0.04,-0.157317,0.08
1946,-0.12,-0.346289,-0.07
1947,-0.09,-0.315171,0
1948,-0.12,-0.375708,-0.09
1949,-0.14,-0.372019,-0.1
1950,-0.23,-0.438577,-0.17
1951,-0.06,-0.33703,0.01
1952,0.02,-0.2642,0.08
1953,0.08,-0.207283,0.16
1954,-0.12,-0.402066,-0.04
1955,-0.2,-0.432375,-0.09
1956,-0.26,-0.471467,-0.18
1957,-0.04,-0.248822,0.05
1958,-0.02,-0.214806,0.06
1959,-0.05,-0.231324,0.04
1960,-0.12,-0.302256,-0.02
1961,-0.02,-0.230729,0.05
1962,-0.06,-0.25233,0
1963,-0.04,-0.239824,0.04
1964,-0.31,-0.473231,-0.22
1965,-0.2,-0.383027,-0.1
1966,-0.15,-0.338874,-0.04
1967,-0.12,-0.299861,-0.01
1968,-0.17,-0.363014,-0.09
1969,-0.03,-0.207795,0.06
1970,-0.09,-0.252362,0.01
1971,-0.21,-0.365572,-0.1
1972,-0.09,-0.246606,0.01
1973,0.05,-0.11087,0.14
1974,-0.17,-0.357773,-0.06
1975,-0.11,-0.296706,0
1976,-0.22,-0.359903,-0.09
1977,0.1,-0.103855,0.24
1978,0.01,-0.201742,0.11
1979,0.09,-0.108856,0.19
1980,0.2,0.00129,0.31
1981,0.25,0.043078,0.36
1982,0.03,-0.135825,0.14
1983,0.22,0.039672,0.32
1984,0.05,-0.117258,0.16
1985,0.05,-0.152012,0.15
1986,0.1,-0.083283,0.21
1987,0.24,0.034297,0.35
1988,0.28,0.093553,0.39
1989,0.18,-0.024279,0.28
1990,0.36,0.142064,0.47
1991,0.34,0.109104,0.46
1992,0.12,-0.068237,0.24
1993,0.17,-0.040359,0.3
1994,0.23,0.019993,0.35
1995,0.38,0.171374,0.51
1996,0.28,0.041314,0.4
1997,0.42,0.180322,0.54
1998,0.58,0.32584,0.69
1999,0.32,0.103882,0.45
2000,0.33,0.103242,0.45
2001,0.49,0.242394,0.58
2002,0.54,0.315014,0.68
2003,0.54,0.321826,0.66
2004,0.47,0.254236,0.57
2005,0.61,0.3874,0.74
2006,0.57,0.347462,0.69
2007,0.59,0.338064,0.7
2008,0.47,0.237452,0.57
2009,0.6,0.360235,0.71
2010,0.68,0.427109,0.78
2011,0.54,0.307325,0.67
2012,0.58,0.347208,0.69
2013,0.62,0.370828,0.71
2014,0.67,0.446523,0.78
2015,0.83,0.605939,0.92
2016,0.93,0.721169,1.06
2017,0.85,0.628785,0.96
2018,0.76,0.560983,0.89
2019,0.89,0.67158,1.02
2020,0.92,0.704475,1.05
2021,0.76,0.552947,0.9
2022,0.8,0.584893,0.94
2023,1.1,0.875232,1.23
2024,1.18,0.9585784,1.186
